id,reviews
0,距离斯蒂芬·金（Stephen King）和德拉邦特（Frank Darabont）们缔造这部伟大的作品已经有十年了。我知道美好的东西想必大家都能感受，但是很抱歉，我的聒噪仍将一如既往。 在我眼里，肖申克的救赎与信念、自由和友谊有关。 ［1］信 念 瑞德（Red）说，希望是危险的东西，是精
1,
2,周末看了一部美国影片《肖申克的救赎》（《The Shawshank Redemption》） 讲的是一位因冤案入狱的年轻银行家在牢中如何追寻自由的故事。 不同的人看同样的影片可能都有不同的感受。对于目前无力改变现状的我，看完这部影片后最深的感受就是：才华、毅力两样，是任何人在任何境
3,Andy Dufresne，一个永垂电影史册的名字。  1  关于《The Shawshank Redemption》的评论，太多，该说的差不多都已说了千万遍。对于这样一个热门的话题，再想要抒发一些个人的喜爱之情，不免有拾人牙慧之嫌。为了避免这样没新意的事情发生，许多单词我就不再提了，譬如“希望”
4,一、缘起  从来没想过给《肖申克的救赎》写一篇影评，也许是生怕暴露自己只是个不谙世事的初级影迷，也许是对这样一部无法复制的影片真的不愿去过多地提起。然而一场出其不意的重感冒让我只能卧床裹被，已没有了力气去消化我那些故作高深、一直收着却懒得去看的电影，不期然地
5,"现在好象比较时兴将人分为体制内和体制外的人,体制外的人通常有某种优越感,似乎自己的人格才是独立的.可实际上,真正愿意做体制外的人还是很少的,而且是很痛苦的.余杰北大硕士毕业后差一点进了他想进的国家图书馆作一个体制内的人,可由于他写了一些比较反体制的文章,最后还是被"
6,
7,打一颗星并不是因为这部片很差，只是不明白怎么会是豆瓣电影里的头牌。用极端的踩来平衡下极端的捧。  N年前看的片子，当时觉得真不错。具体不错在哪里？或许是因为结局不错，主人公最终成功越狱到达梦想之地，观影者借以给自己希望，以为自己也能达到自由的彼处。  第一次看完
8,"* 是否记得片尾有一行字幕""In memory of Allen Greene""？翻译成中文就是""纪念Allen Greene ""。Allen Greene是《肖申克的救赎》编导Frank Darabont的经纪人，在影片完成 的前夕死于AIDS的并发症。 　　 　　* 是否记得刚来到监狱的新囚犯们走下囚车时，嘲笑他们的人群中有一个"
9,你知道，束缚越紧，梦也就会在心里勒下越深的痕迹。《肖申克的救赎》是一场关于笼中鸟如何飞往自由的梦，用我一位网友的话来说，看了它，甚至会让人觉得重生。  而在观影过程中，我反复想起的另一部电影，是《海上钢琴师1900》：这两个故事都是由小说改编；这两部电影都有和故
10,肖申克的救赎告诉我们:”心若是牢笼，处处为牢笼，自由不在外面，而在于内心。” 人们追求自由，提倡自由，但其实束缚正来自于本身，来自于内心。我们为自己设立了条条框框，将自己困在方寸之地，即使身体自由，灵魂也被囚禁，原来画地为牢的正是自己。 不过”你知道，有些鸟儿
11,"These walls are kind of funny like that. First you hate them, then you get used to them. Enough time passed, get so you depend on them. That`s institution alized. “监狱里的高墙实在是很有趣。刚入狱的时候，你痛恨周围的高墙；慢慢地，你习惯了生活在其中；最终你"
12,最罪恶的地方最闪亮的光，那是什么？罪恶的不是监狱，是磨灭人心，给人心套上枷锁的制度，希望也不是逃出，而是为生而生的希望。   《肖申克的救赎》涵盖全片的主题是“希望”，全片透过监狱这一强制剥夺自由、高度强调纪律的特殊背景来展现作为个体的人对“时间流逝、环境改造
13,"“Remember, hope is a good thing, maybe the best of things and no good thing ever dies!”（请记住，信念是美好的，或许也是人间至善，而美好的事物将永不消逝。）       安迪虽身在监狱，但心却早已追随信念飞向远方。我们无从知晓究竟从哪一刻起他才萌生了挖洞逃生的念"
14,
15,
16,"You know some birds are not meant to be caged, their feathers are just too bright. 你知道，有些鸟儿是注定不会被关在牢笼里的，它们的每一片羽毛都闪耀着自由的光辉。 这些墙很有趣。刚入狱的时候，你痛恨周围的高墙；慢慢地，你习惯了生活在其中；最终你会发现自己不得"
17,人都有向上之心，但在实践的人生中，沉沦似乎是不可避免的。这是为什么呢？因为我们活在世界上，受的制约太多。我们都想只为自己而活，但是，又常常不可得。规范得遵循，游戏规则要遵守，责任得去尽，还要努力取得成就（在这个贫乏的时代，成就只不过是金钱的代名词，20世
18,
19,
20,
21,
22,看完之后  给我的印象特别深刻  我认真思考人生   我的未来  或许真的有时候需要强大的信念  才能把人生活的更加完美  人的一生不可能总是顺风顺水  偶尔有一点小坎坷也是在所难免 所以我看完之后终于明白坚持信念是需要多大的勇气  不抛弃不放弃  永远相信希望就在前方   只有
23,难得看到评分高的影片，看下来确实没让我失望。一个年轻有为有着大好前途的银行家，妻子背叛了他，他也被冤枉而锒铛入狱。本以为他这样的身份，又遭遇了这样的变故，会很难在监狱待下去，或者连继续生存下去的信心都被磨灭。却没想到他不仅很快就融入了这个大环境，还因为自己
24,"有一种鸟儿是永远也关不住的 因为它的每片羽翼都沾满了自由的光辉 我一直都记得电影中， 当ANDY说出自己越狱计划的时候， RED认为他是在妄想， 当时ANDY的回应是以下的话： “fear can hold you prisoner,hope can send you free.” 救赎是从心灵上的： 救自己于困境， 赎过往"
25,第一次看完它的时候还不知道什么叫做自由，便反复观摩，数年后的一天在一遍又一遍的体会和琢磨中看到了人性的坚韧和希望的力量，转眼望去至今走过的路，蹒跚磕绊，但总有一种永不放弃的力量去推动你，相信一切。直到今天再看到这部电影的名字才发现，是它潜移默化的教会了我成
26,不朽  是我观看后对它内心深处最为自然的评价   该片的主题是 希望  并在牢狱题材电影中突破了类型片的限制 拍出了同类作品罕见的人情味和温馨感觉 以至今日 该片几乎在国内外各大电影网站的电影排行中始终稳坐第一    该电影用第三人称的旁白描绘了肖申克监狱二三十年间所发生
27,“有些鸟注定是不会被关在笼子里的，因为它们的每一片羽毛都闪耀着自由的光辉。”安迪反锁广播室播放《费加罗的婚礼》那段真心让我热血澎湃。他是这样一个人，无论怎么样，规矩只能锁住他的的肉体，但绝对锁不住他的灵魂！能救赎自己的，只有自己 。 也许我们每个人都是肖申克
28,简直就是穿越过来的基督山伯爵啊！这是我看完《肖申克的救赎》的第一反应。犹记得高中时候天天晚上在被窝打着手电筒看《基督山伯爵》的场景……两个人都太不幸了！同样是年轻有前途的帅哥，同样遭人陷害被判入狱，然后同样在狱中获得各种技能学会N国语言，然后带着恨越狱逃出来
29,安迪花十几年时间做成一件事情，这件事情在未完成之前，在别人看来并没有意义。但在他心理，这些无意义的事情都是他精密计划的一部分。做好计划，做好一切准备，等待恰当的时机，完成计划，完美。 如果每个人都可以做到，心中有了计划，无视他人的嘲讽，然后耐着性子等待机遇，
30,有人说不看“肖申克的救赎”的人生是不完整的。我想大概只有认认真真看过的人才懂这句话。 每个人所执着的点和感触的地方都不一样。关于希望，关于价值，关于毅力，是我印象比较深刻的地方。 小有成就的青年银行家安迪，因涉嫌杀害妻子及她的情人而锒铛入狱。来到肖申克的监狱
31,<一> 自由是埋在心里的一枚种子 影片中有这样三个场景：一个是这样的，在一个春光明媚的清晨，囚犯干完活后，在屋顶闲散地坐着，很悠然地喝着安迪可以说是用生命换来的冰镇啤酒，享受着温暖悠闲的阳光，那就仿佛是在自家的屋顶上一样，享受着来之不易的自由?? 另一个场景里，在
32,
33,"First you hate 'em, then you get used to 'em. Enough time passes, gets so you depend on them. That's institutionalized. 这些墙很有趣。刚入狱的时候，你痛恨周围的高墙；慢慢地，你习惯了生活在其中；最终你会发现自己不得不依靠它而生存。这就叫体制化。    I guess i"
34,《肖申克的救赎》看过很多遍，没有一次是厌倦的，是乏味的，是不耐的。似乎每次回顾都能带来更多的体悟。  影片主要讲述了一位年轻有为的银行家安迪被怀疑杀害了妻子和妻子的情夫，由于律师的无能和司法的昏馈而被判终身监禁，服刑于肖申克监狱。安迪在狱中的铁笼里用一把六英
35,Zihuatanejo 是一个地方，在墨西哥，太平洋岸。你知道墨西哥人怎么称呼太平洋吗？那是没有回忆的海洋。那就是我想去的地方。一个温暖而没有回忆的地方。  Andy Dufresne 这么告诉 Red 。  他们坐在肖申克监狱的高墙下，石头筑成的高墙，而墨西哥在遥远的南方。  于是他们最终在
36,"《肖申克的救赎》毫无疑问是一部好片子，没有动作,没有特技,甚至没有美人，却依然能深深打动观众,并且历经十几年而魅力不减。它靠什么吸引我们？ 有人说是因为它反映出了“人性之韧”。确实，用一把小榔头，近20年的时间，在人身控制极为严格的法西斯式监狱，挖出了一条逃生的"
37,超级喜欢这部电影～男主被冤枉进了了监狱但一直也没有放弃。几十年挖通了一条通往外界的路，这种信念常人难以达到。靠自己智慧最终获得了自由。监狱长得到了应有的惩罚。只是看到那个在监狱里生活了一辈子的老人出了监狱却不知如何生存，和外界世界隔离了太久已经无法融入社会
